FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
rest,https://186.226.60.54/,https://desapegogames.com.br/,94,301,277,15,8,text/html; charset=iso-8859-1,801.51715ms,,f10b95e
root,https://186.226.60.54/,https://desapegogames.com.br/,97,301,277,15,8,text/html; charset=iso-8859-1,798.938132ms,,f10b961
rh,https://186.226.60.54/,https://desapegogames.com.br/,96,301,277,15,8,text/html; charset=iso-8859-1,799.289955ms,,f10b960
roundcube,https://186.226.60.54/,https://desapegogames.com.br/,98,301,277,15,8,text/html; charset=iso-8859-1,725.620394ms,,f10b962
sac,https://186.226.60.54/,https://desapegogames.com.br/,99,301,277,15,8,text/html; charset=iso-8859-1,725.748714ms,,f10b963
secure,https://186.226.60.54/,https://desapegogames.com.br/,101,301,277,15,8,text/html; charset=iso-8859-1,600.908921ms,,f10b965
sandbox,https://186.226.60.54/,https://desapegogames.com.br/,100,301,277,15,8,text/html; charset=iso-8859-1,600.960011ms,,f10b964
server,https://186.226.60.54/,https://desapegogames.com.br/,102,301,277,15,8,text/html; charset=iso-8859-1,694.146258ms,,f10b966
sistema,https://186.226.60.54/,https://desapegogames.com.br/,105,301,277,15,8,text/html; charset=iso-8859-1,499.949307ms,,f10b969
shop,https://186.226.60.54/,https://desapegogames.com.br/,104,301,277,15,8,text/html; charset=iso-8859-1,504.485104ms,,f10b968
sftp,https://186.226.60.54/,https://desapegogames.com.br/,103,301,277,15,8,text/html; charset=iso-8859-1,797.557278ms,,f10b967
sistemas,https://186.226.60.54/,https://desapegogames.com.br/,107,301,277,15,8,text/html; charset=iso-8859-1,598.852017ms,,f10b96b
sistema1,https://186.226.60.54/,https://desapegogames.com.br/,106,301,277,15,8,text/html; charset=iso-8859-1,599.118924ms,,f10b96a
smtp,https://186.226.60.54/,https://desapegogames.com.br/,108,301,277,15,8,text/html; charset=iso-8859-1,597.549551ms,,f10b96c
smtp2,https://186.226.60.54/,https://desapegogames.com.br/,109,301,277,15,8,text/html; charset=iso-8859-1,655.80429ms,,f10b96d
squirrelmail,https://186.226.60.54/,https://desapegogames.com.br/,110,301,277,15,8,text/html; charset=iso-8859-1,628.848915ms,,f10b96e
sso,https://186.226.60.54/,https://desapegogames.com.br/,111,301,277,15,8,text/html; charset=iso-8859-1,624.678017ms,,f10b96f
stage,https://186.226.60.54/,https://desapegogames.com.br/,112,301,277,15,8,text/html; charset=iso-8859-1,695.42762ms,,f10b970
staging,https://186.226.60.54/,https://desapegogames.com.br/,113,301,277,15,8,text/html; charset=iso-8859-1,622.698347ms,,f10b971
static,https://186.226.60.54/,https://desapegogames.com.br/,114,301,277,15,8,text/html; charset=iso-8859-1,608.592618ms,,f10b972
status,https://186.226.60.54/,https://desapegogames.com.br/,115,301,277,15,8,text/html; charset=iso-8859-1,673.846673ms,,f10b973
store,https://186.226.60.54/,https://desapegogames.com.br/,116,301,277,15,8,text/html; charset=iso-8859-1,599.800146ms,,f10b974
stream,https://186.226.60.54/,https://desapegogames.com.br/,117,301,277,15,8,text/html; charset=iso-8859-1,712.542971ms,,f10b975
suporte,https://186.226.60.54/,https://desapegogames.com.br/,118,301,277,15,8,text/html; charset=iso-8859-1,720.955955ms,,f10b976
suporte2,https://186.226.60.54/,https://desapegogames.com.br/,119,301,277,15,8,text/html; charset=iso-8859-1,656.115231ms,,f10b977
swagger,https://186.226.60.54/,https://desapegogames.com.br/,120,301,277,15,8,text/html; charset=iso-8859-1,598.722154ms,,f10b978
test,https://186.226.60.54/,https://desapegogames.com.br/,121,301,277,15,8,text/html; charset=iso-8859-1,687.698356ms,,f10b979
teste,https://186.226.60.54/,https://desapegogames.com.br/,122,301,277,15,8,text/html; charset=iso-8859-1,665.182407ms,,f10b97a
v2,https://186.226.60.54/,https://desapegogames.com.br/,124,301,277,15,8,text/html; charset=iso-8859-1,800.928589ms,,f10b97c
uat,https://186.226.60.54/,https://desapegogames.com.br/,123,301,277,15,8,text/html; charset=iso-8859-1,800.928586ms,,f10b97b
v3,https://186.226.60.54/,https://desapegogames.com.br/,125,301,277,15,8,text/html; charset=iso-8859-1,629.913546ms,,f10b97d
vendas,https://186.226.60.54/,https://desapegogames.com.br/,126,301,277,15,8,text/html; charset=iso-8859-1,781.354939ms,,f10b97e
video,https://186.226.60.54/,https://desapegogames.com.br/,127,301,277,15,8,text/html; charset=iso-8859-1,720.929548ms,,f10b97f
web,https://186.226.60.54/,https://desapegogames.com.br/,129,301,277,15,8,text/html; charset=iso-8859-1,664.108126ms,,f10b981
vps,https://186.226.60.54/,https://desapegogames.com.br/,128,301,277,15,8,text/html; charset=iso-8859-1,775.569165ms,,f10b980
web1,https://186.226.60.54/,https://desapegogames.com.br/,130,301,277,15,8,text/html; charset=iso-8859-1,761.519582ms,,f10b982
web2,https://186.226.60.54/,https://desapegogames.com.br/,131,301,277,15,8,text/html; charset=iso-8859-1,647.247576ms,,f10b983
web3,https://186.226.60.54/,https://desapegogames.com.br/,132,301,277,15,8,text/html; charset=iso-8859-1,747.456421ms,,f10b984
webdisk,https://186.226.60.54/,https://desapegogames.com.br/,133,301,277,15,8,text/html; charset=iso-8859-1,747.753632ms,,f10b985
webmail,https://186.226.60.54/,https://desapegogames.com.br/,135,301,277,15,8,text/html; charset=iso-8859-1,633.039476ms,,f10b987
webhook,https://186.226.60.54/,https://desapegogames.com.br/,134,301,277,15,8,text/html; charset=iso-8859-1,633.103121ms,,f10b986
whm,https://186.226.60.54/,https://desapegogames.com.br/,137,301,277,15,8,text/html; charset=iso-8859-1,836.166178ms,,f10b989
webmail2,https://186.226.60.54/,https://desapegogames.com.br/,136,301,277,15,8,text/html; charset=iso-8859-1,836.756165ms,,f10b988
www,https://186.226.60.54/,https://desapegogames.com.br/,139,301,162,5,8,text/html,752.250028ms,,f10b98b
whm2,https://186.226.60.54/,https://desapegogames.com.br/,138,301,277,15,8,text/html; charset=iso-8859-1,881.562958ms,,f10b98a
www3,https://186.226.60.54/,https://desapegogames.com.br/,143,301,277,15,8,text/html; charset=iso-8859-1,684.224384ms,,f10b98f
www.review,https://186.226.60.54/,https://desapegogames.com.br/,141,301,277,15,8,text/html; charset=iso-8859-1,871.76426ms,,f10b98d
www.cron,https://186.226.60.54/,https://desapegogames.com.br/,140,301,277,15,8,text/html; charset=iso-8859-1,871.934178ms,,f10b98c
www2,https://186.226.60.54/,https://desapegogames.com.br/,142,301,277,15,8,text/html; charset=iso-8859-1,692.051179ms,,f10b98e
www4,https://186.226.60.54/,https://desapegogames.com.br/,144,301,277,15,8,text/html; charset=iso-8859-1,692.019775ms,,f10b990
