FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
desapegoapi,https://186.226.60.53/,,32,200,44,4,2,text/html,634.874563ms,,6545220
dev2,https://186.226.60.53/,,36,200,44,4,2,text/html,600.44539ms,,6545224
dev,https://186.226.60.53/,,34,200,44,4,2,text/html,683.062579ms,,6545222
dev1,https://186.226.60.53/,,35,200,44,4,2,text/html,600.808232ms,,6545223
dgames,https://186.226.60.53/,,38,200,44,4,2,text/html,615.391964ms,,6545226
dns,https://186.226.60.53/,,39,200,44,4,2,text/html,600.745926ms,,6545227
dg,https://186.226.60.53/,,37,200,44,4,2,text/html,694.046175ms,,6545225
docs,https://186.226.60.53/,,40,200,44,4,2,text/html,598.249594ms,,6545228
documentacao,https://186.226.60.53/,,41,200,44,4,2,text/html,798.251237ms,,6545229
exchange,https://186.226.60.53/,,42,200,44,4,2,text/html,599.331837ms,,654522a
financeiro,https://186.226.60.53/,,44,200,44,4,2,text/html,798.82844ms,,654522c
ftp,https://186.226.60.53/,,45,200,44,4,2,text/html,676.278303ms,,654522d
files,https://186.226.60.53/,,43,200,44,4,2,text/html,799.07166ms,,654522b
ftp2,https://186.226.60.53/,,46,200,44,4,2,text/html,717.137728ms,,654522e
git,https://186.226.60.53/,,48,200,44,4,2,text/html,599.143846ms,,6545230
games,https://186.226.60.53/,,47,200,44,4,2,text/html,799.050765ms,,654522f
gitlab,https://186.226.60.53/,,49,200,44,4,2,text/html,726.098786ms,,6545231
help,https://186.226.60.53/,,52,200,44,4,2,text/html,526.126496ms,,6545234
graphql,https://186.226.60.53/,,51,200,44,4,2,text/html,527.665098ms,,6545233
host,https://186.226.60.53/,,53,200,44,4,2,text/html,527.609623ms,,6545235
gql,https://186.226.60.53/,,50,200,44,4,2,text/html,728.208697ms,,6545232
images,https://186.226.60.53/,,54,200,44,4,2,text/html,480.520549ms,,6545236
img,https://186.226.60.53/,,56,200,44,4,2,text/html,657.755955ms,,6545238
imap,https://186.226.60.53/,,55,200,44,4,2,text/html,779.397386ms,,6545237
iredmail,https://186.226.60.53/,,57,200,44,4,2,text/html,532.070612ms,,6545239
jenkins,https://186.226.60.53/,,58,200,44,4,2,text/html,531.976025ms,,654523a
keycloak,https://186.226.60.53/,,59,200,44,4,2,text/html,571.027607ms,,654523b
login,https://186.226.60.53/,,60,200,44,4,2,text/html,776.796198ms,,654523c
logon,https://186.226.60.53/,,61,200,44,4,2,text/html,777.06249ms,,654523d
loja,https://186.226.60.53/,,62,200,44,4,2,text/html,727.117473ms,,654523e
m,https://186.226.60.53/,,63,200,44,4,2,text/html,654.616811ms,,654523f
mail,https://186.226.60.53/,,64,200,44,4,2,text/html,682.148166ms,,6545240
marketplace,https://186.226.60.53/,,66,200,44,4,2,text/html,681.036103ms,,6545242
manage,https://186.226.60.53/,,65,200,44,4,2,text/html,681.326722ms,,6545241
media,https://186.226.60.53/,,67,200,44,4,2,text/html,640.719934ms,,6545243
mobile,https://186.226.60.53/,,68,200,44,4,2,text/html,600.676784ms,,6545244
monitor,https://186.226.60.53/,,69,200,44,4,2,text/html,600.595841ms,,6545245
mx,https://186.226.60.53/,,70,200,44,4,2,text/html,600.693762ms,,6545246
nagios,https://186.226.60.53/,,73,200,44,4,2,text/html,516.044117ms,,6545249
mx2,https://186.226.60.53/,,71,200,44,4,2,text/html,743.289989ms,,6545247
mysql,https://186.226.60.53/,,72,200,44,4,2,text/html,639.495532ms,,6545248
ns1,https://186.226.60.53/,,75,200,44,4,2,text/html,657.682303ms,,654524b
new,https://186.226.60.53/,,74,200,44,4,2,text/html,657.69134ms,,654524a
ns2,https://186.226.60.53/,,76,200,44,4,2,text/html,595.405808ms,,654524c
ns3,https://186.226.60.53/,,77,200,44,4,2,text/html,595.552128ms,,654524d
oauth,https://186.226.60.53/,,78,200,44,4,2,text/html,771.337964ms,,654524e
old,https://186.226.60.53/,,79,200,44,4,2,text/html,609.130256ms,,654524f
owa,https://186.226.60.53/,,80,200,44,4,2,text/html,609.535351ms,,6545250
painel,https://186.226.60.53/,,81,200,44,4,2,text/html,796.864132ms,,6545251
phpmyadmin,https://186.226.60.53/,,83,200,44,4,2,text/html,700.801796ms,,6545253
panel,https://186.226.60.53/,,82,200,44,4,2,text/html,700.860116ms,,6545252
pop3,https://186.226.60.53/,,86,200,44,4,2,text/html,506.618ms,,6545256
pma,https://186.226.60.53/,,84,200,44,4,2,text/html,797.08811ms,,6545254
portal,https://186.226.60.53/,,87,200,44,4,2,text/html,572.523861ms,,6545257
postgres,https://186.226.60.53/,,88,200,44,4,2,text/html,632.280032ms,,6545258
preview,https://186.226.60.53/,,89,200,44,4,2,text/html,564.749441ms,,6545259
production,https://186.226.60.53/,,91,200,44,4,2,text/html,801.24246ms,,654525b
qa,https://186.226.60.53/,,92,200,44,4,2,text/html,693.506596ms,,654525c
prod,https://186.226.60.53/,,90,200,44,4,2,text/html,802.021428ms,,654525a
relay,https://186.226.60.53/,,93,200,44,4,2,text/html,624.909822ms,,654525d
rest,https://186.226.60.53/,,94,200,44,4,2,text/html,624.90983ms,,654525e
review,https://186.226.60.53/,,95,200,44,4,2,text/html,535.759262ms,,654525f
rh,https://186.226.60.53/,,96,200,44,4,2,text/html,801.507444ms,,6545260
root,https://186.226.60.53/,,97,200,44,4,2,text/html,636.411484ms,,6545261
sac,https://186.226.60.53/,,99,200,44,4,2,text/html,532.893797ms,,6545263
roundcube,https://186.226.60.53/,,98,200,44,4,2,text/html,533.474112ms,,6545262
sandbox,https://186.226.60.53/,,100,200,44,4,2,text/html,596.332699ms,,6545264
secure,https://186.226.60.53/,,101,200,44,4,2,text/html,775.089947ms,,6545265
server,https://186.226.60.53/,,102,200,44,4,2,text/html,775.496141ms,,6545266
sftp,https://186.226.60.53/,,103,200,44,4,2,text/html,725.522355ms,,6545267
shop,https://186.226.60.53/,,104,200,44,4,2,text/html,599.989645ms,,6545268
sistema1,https://186.226.60.53/,,106,200,44,4,2,text/html,547.997717ms,,654526a
sistemas,https://186.226.60.53/,,107,200,44,4,2,text/html,652.446328ms,,654526b
sistema,https://186.226.60.53/,,105,200,44,4,2,text/html,786.874961ms,,6545269
smtp,https://186.226.60.53/,,108,200,44,4,2,text/html,766.978355ms,,654526c
smtp2,https://186.226.60.53/,,109,200,44,4,2,text/html,567.354831ms,,654526d
squirrelmail,https://186.226.60.53/,,110,200,44,4,2,text/html,761.667231ms,,654526e
sso,https://186.226.60.53/,,111,200,44,4,2,text/html,761.906137ms,,654526f
stage,https://186.226.60.53/,,112,200,44,4,2,text/html,734.605836ms,,6545270
staging,https://186.226.60.53/,,113,200,44,4,2,text/html,652.510374ms,,6545271
status,https://186.226.60.53/,,115,200,44,4,2,text/html,727.906532ms,,6545273
static,https://186.226.60.53/,,114,200,44,4,2,text/html,728.263924ms,,6545272
store,https://186.226.60.53/,,116,200,44,4,2,text/html,548.419212ms,,6545274
stream,https://186.226.60.53/,,117,200,44,4,2,text/html,569.07077ms,,6545275
suporte,https://186.226.60.53/,,118,200,44,4,2,text/html,658.514642ms,,6545276
suporte2,https://186.226.60.53/,,119,200,44,4,2,text/html,658.459755ms,,6545277
swagger,https://186.226.60.53/,,120,200,44,4,2,text/html,573.210856ms,,6545278
test,https://186.226.60.53/,,121,200,44,4,2,text/html,573.719122ms,,6545279
v2,https://186.226.60.53/,,124,200,44,4,2,text/html,512.875288ms,,654527c
teste,https://186.226.60.53/,,122,200,44,4,2,text/html,583.729751ms,,654527a
uat,https://186.226.60.53/,,123,200,44,4,2,text/html,583.71215ms,,654527b
v3,https://186.226.60.53/,,125,200,44,4,2,text/html,690.764913ms,,654527d
vendas,https://186.226.60.53/,,126,200,44,4,2,text/html,477.576234ms,,654527e
video,https://186.226.60.53/,,127,200,44,4,2,text/html,676.751713ms,,654527f
web,https://186.226.60.53/,,129,200,44,4,2,text/html,643.562436ms,,6545281
web1,https://186.226.60.53/,,130,200,44,4,2,text/html,673.712033ms,,6545282
webdisk,https://186.226.60.53/,,133,200,44,4,2,text/html,670.998992ms,,6545285
web3,https://186.226.60.53/,,132,200,44,4,2,text/html,802.103468ms,,6545284
web2,https://186.226.60.53/,,131,200,44,4,2,text/html,802.479435ms,,6545283
webhook,https://186.226.60.53/,,134,200,106,19,5,text/html; charset=UTF-8,713.154081ms,,6545286
whm,https://186.226.60.53/,,137,200,44,4,2,text/html,545.562288ms,,6545289
webmail,https://186.226.60.53/,,135,200,44,4,2,text/html,598.274833ms,,6545287
webmail2,https://186.226.60.53/,,136,200,44,4,2,text/html,706.549012ms,,6545288
whm2,https://186.226.60.53/,,138,200,44,4,2,text/html,597.336082ms,,654528a
www.cron,https://186.226.60.53/,,140,200,44,4,2,text/html,517.644625ms,,654528c
www.review,https://186.226.60.53/,,141,200,44,4,2,text/html,517.696555ms,,654528d
www,https://186.226.60.53/,,139,200,44,4,2,text/html,597.891239ms,,654528b
www2,https://186.226.60.53/,,142,200,44,4,2,text/html,684.233958ms,,654528e
www4,https://186.226.60.53/,,144,200,44,4,2,text/html,799.907233ms,,6545290
www3,https://186.226.60.53/,,143,200,44,4,2,text/html,800.072867ms,,654528f
