Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2026-08-22 19:01:47 GMT
Initiating SYN Stealth Scan
Scanning 4 hosts [65535 ports/host]
rate:  0.00-kpps,  0.00% done,145836161:29:41 remaining, found=0       
rate:  1.00-kpps,  0.33% done,   0:30:38 remaining, found=0       
rate:  0.99-kpps,  0.62% done,   0:16:10 remaining, found=0       
rate:  0.99-kpps,  0.90% done,   0:10:58 remaining, found=1       
rate:  0.99-kpps, 38.64% done,   0:02:39 remaining, found=4       
rate:  0.99-kpps, 38.96% done,   0:02:36 remaining, found=4       
rate:  0.99-kpps, 39.23% done,   0:02:37 remaining, found=4       
rate:  0.99-kpps, 39.53% done,   0:02:35 remaining, found=4       
rate:  1.00-kpps, 39.82% done,   0:02:35 remaining, found=4       
rate:  0.99-kpps, 40.11% done,   0:02:34 remaining, found=4       
rate:  0.99-kpps, 40.39% done,   0:02:34 remaining, found=4       
rate:  0.99-kpps, 40.70% done,   0:02:32 remaining, found=4       
rate:  0.99-kpps, 40.97% done,   0:02:32 remaining, found=4       
rate:  0.99-kpps, 41.28% done,   0:02:31 remaining, found=4       
rate:  0.99-kpps, 41.55% done,   0:02:30 remaining, found=4       
rate:  0.99-kpps, 41.86% done,   0:02:29 remaining, found=4       
rate:  0.99-kpps, 42.13% done,   0:02:30 remaining, found=4       
rate:  0.99-kpps, 42.45% done,   0:02:27 remaining, found=4       
rate:  0.99-kpps, 42.73% done,   0:02:27 remaining, found=4       
rate:  0.99-kpps, 43.04% done,   0:02:26 remaining, found=4       
rate:  0.99-kpps, 43.32% done,   0:02:25 remaining, found=4       
rate:  0.99-kpps, 43.60% done,   0:02:25 remaining, found=4       
rate:  0.98-kpps, 43.90% done,   0:02:23 remaining, found=4       
rate:  0.99-kpps, 44.19% done,   0:02:24 remaining, found=4       
rate:  0.99-kpps, 44.49% done,   0:02:21 remaining, found=4       
rate:  0.99-kpps, 44.75% done,   0:02:23 remaining, found=4       
rate:  0.98-kpps, 45.05% done,   0:02:21 remaining, found=4       
rate:  0.99-kpps, 45.34% done,   0:02:22 remaining, found=4       
rate:  0.99-kpps, 45.64% done,   0:02:20 remaining, found=4       
rate:  0.99-kpps, 45.93% done,   0:02:19 remaining, found=4       
rate:  0.99-kpps, 46.22% done,   0:02:19 remaining, found=4       
rate:  0.99-kpps, 46.50% done,   0:02:18 remaining, found=4       
rate:  0.99-kpps, 46.80% done,   0:02:18 remaining, found=4       
rate:  0.99-kpps, 47.08% done,   0:02:16 remaining, found=4       
rate:  0.98-kpps, 47.37% done,   0:02:16 remaining, found=4       
rate:  0.98-kpps, 47.66% done,   0:02:15 remaining, found=4       
rate:  0.98-kpps, 47.96% done,   0:02:14 remaining, found=4       
rate:  0.99-kpps, 48.24% done,   0:02:14 remaining, found=4       
rate:  0.99-kpps, 48.51% done,   0:02:14 remaining, found=4       
rate:  0.98-kpps, 48.81% done,   0:02:13 remaining, found=4       
rate:  0.99-kpps, 49.11% done,   0:02:11 remaining, found=4       
rate:  0.99-kpps, 49.39% done,   0:02:11 remaining, found=4       
rate:  0.99-kpps, 49.66% done,   0:02:11 remaining, found=4       
rate:  0.98-kpps, 49.97% done,   0:02:09 remaining, found=4       
rate:  0.99-kpps, 50.26% done,   0:02:09 remaining, found=4       
rate:  1.00-kpps, 50.53% done,   0:02:09 remaining, found=4       
rate:  0.99-kpps, 50.82% done,   0:02:07 remaining, found=4       
rate:  0.99-kpps, 51.12% done,   0:02:07 remaining, found=4       
rate:  1.00-kpps, 51.40% done,   0:02:07 remaining, found=4       
rate:  0.99-kpps, 51.70% done,   0:02:05 remaining, found=4       
rate:  0.99-kpps, 52.00% done,   0:02:03 remaining, found=4       
rate:  0.99-kpps, 52.29% done,   0:02:03 remaining, found=4       
rate:  1.00-kpps, 52.57% done,   0:02:03 remaining, found=4       
rate:  0.99-kpps, 52.87% done,   0:02:00 remaining, found=4       
rate:  0.99-kpps, 53.17% done,   0:01:59 remaining, found=4       
rate:  1.00-kpps, 53.44% done,   0:02:00 remaining, found=4       
rate:  0.99-kpps, 53.74% done,   0:01:58 remaining, found=4       
rate:  1.00-kpps, 54.03% done,   0:01:58 remaining, found=4       
rate:  1.00-kpps, 54.32% done,   0:01:57 remaining, found=4       
rate:  1.00-kpps, 54.61% done,   0:01:57 remaining, found=4       
rate:  0.99-kpps, 54.91% done,   0:01:55 remaining, found=4       
rate:  1.00-kpps, 55.20% done,   0:01:55 remaining, found=4       
rate:  0.99-kpps, 55.49% done,   0:01:55 remaining, found=4       
rate:  0.99-kpps, 55.78% done,   0:01:53 remaining, found=4       
rate:  0.99-kpps, 56.07% done,   0:01:53 remaining, found=4       
rate:  0.99-kpps, 56.36% done,   0:01:52 remaining, found=4       
rate:  0.99-kpps, 56.65% done,   0:01:51 remaining, found=4       
rate:  1.00-kpps, 56.94% done,   0:01:51 remaining, found=4       
rate:  0.99-kpps, 57.23% done,   0:01:50 remaining, found=4       
rate:  0.99-kpps, 57.52% done,   0:01:50 remaining, found=4       
rate:  1.00-kpps, 57.82% done,   0:01:48 remaining, found=4       
rate:  0.99-kpps, 58.09% done,   0:01:48 remaining, found=4       
rate:  1.00-kpps, 58.40% done,   0:01:46 remaining, found=4       
rate:  0.99-kpps, 58.67% done,   0:01:47 remaining, found=4       
rate:  0.99-kpps, 58.99% done,   0:01:45 remaining, found=4       
rate:  0.99-kpps, 59.26% done,   0:01:45 remaining, found=4       
rate:  1.00-kpps, 59.57% done,   0:01:43 remaining, found=4       
rate:  0.99-kpps, 59.85% done,   0:01:43 remaining, found=4       
rate:  0.99-kpps, 60.14% done,   0:01:42 remaining, found=4       
rate:  0.99-kpps, 60.44% done,   0:01:41 remaining, found=4       
rate:  0.99-kpps, 60.73% done,   0:01:41 remaining, found=4       
rate:  1.00-kpps, 61.02% done,   0:01:39 remaining, found=4       
rate:  0.99-kpps, 61.32% done,   0:01:39 remaining, found=4       
rate:  0.99-kpps, 61.60% done,   0:01:38 remaining, found=4       
rate:  0.99-kpps, 61.90% done,   0:01:38 remaining, found=4       
rate:  0.99-kpps, 62.18% done,   0:01:37 remaining, found=4       
rate:  0.99-kpps, 62.49% done,   0:01:36 remaining, found=4       
rate:  0.99-kpps, 62.77% done,   0:01:35 remaining, found=4       
rate:  0.99-kpps, 63.06% done,   0:01:35 remaining, found=4       
rate:  0.99-kpps, 63.35% done,   0:01:34 remaining, found=4       
rate:  0.99-kpps, 63.63% done,   0:01:34 remaining, found=4       
rate:  0.99-kpps, 63.93% done,   0:01:33 remaining, found=4       
rate:  0.99-kpps, 64.21% done,   0:01:32 remaining, found=4       
rate:  0.99-kpps, 64.52% done,   0:01:31 remaining, found=4       
rate:  0.99-kpps, 64.79% done,   0:01:31 remaining, found=4       
rate:  1.00-kpps, 65.10% done,   0:01:30 remaining, found=4       
rate:  0.99-kpps, 65.39% done,   0:01:28 remaining, found=4       
rate:  0.99-kpps, 65.69% done,   0:01:27 remaining, found=4       
rate:  1.00-kpps, 65.97% done,   0:01:27 remaining, found=4       
rate:  1.00-kpps, 66.25% done,   0:01:27 remaining, found=4       
rate:  0.99-kpps, 66.55% done,   0:01:25 remaining, found=4       
rate:  1.00-kpps, 66.85% done,   0:01:25 remaining, found=4       
rate:  1.00-kpps, 67.14% done,   0:01:24 remaining, found=4       
rate:  1.00-kpps, 67.43% done,   0:01:23 remaining, found=4       
rate:  1.00-kpps, 67.71% done,   0:01:23 remaining, found=4       
rate:  0.99-kpps, 68.02% done,   0:01:22 remaining, found=4       
rate:  1.00-kpps, 68.31% done,   0:01:21 remaining, found=4       
rate:  1.00-kpps, 68.58% done,   0:01:20 remaining, found=4       
rate:  1.00-kpps, 68.89% done,   0:01:20 remaining, found=4       
rate:  0.99-kpps, 69.19% done,   0:01:19 remaining, found=4       
rate:  1.00-kpps, 69.47% done,   0:01:18 remaining, found=4       
rate:  0.99-kpps, 69.77% done,   0:01:17 remaining, found=4       
rate:  1.00-kpps, 70.05% done,   0:01:16 remaining, found=4       
rate:  1.00-kpps, 70.35% done,   0:01:16 remaining, found=4       
rate:  1.00-kpps, 70.64% done,   0:01:15 remaining, found=4       
rate:  0.99-kpps, 70.91% done,   0:01:14 remaining, found=4       
rate:  0.99-kpps, 71.23% done,   0:01:13 remaining, found=4       
rate:  0.99-kpps, 71.51% done,   0:01:13 remaining, found=4       
rate:  0.99-kpps, 71.80% done,   0:01:12 remaining, found=4       
rate:  0.99-kpps, 72.10% done,   0:01:11 remaining, found=4       
rate:  0.99-kpps, 72.38% done,   0:01:11 remaining, found=4       
rate:  0.99-kpps, 72.68% done,   0:01:10 remaining, found=4       
rate:  0.99-kpps, 72.97% done,   0:01:09 remaining, found=4       
rate:  1.00-kpps, 73.27% done,   0:01:08 remaining, found=4       
rate:  0.99-kpps, 73.55% done,   0:01:08 remaining, found=4       
rate:  0.99-kpps, 73.85% done,   0:01:07 remaining, found=4       
rate:  0.99-kpps, 74.12% done,   0:01:07 remaining, found=4       
rate:  0.99-kpps, 74.43% done,   0:01:06 remaining, found=4       
rate:  0.98-kpps, 74.73% done,   0:01:04 remaining, found=4       
rate:  0.99-kpps, 74.99% done,   0:01:04 remaining, found=4       
rate:  0.99-kpps, 75.30% done,   0:01:03 remaining, found=4       
rate:  0.99-kpps, 75.59% done,   0:01:03 remaining, found=4       
rate:  0.99-kpps, 75.87% done,   0:01:02 remaining, found=4       
rate:  0.99-kpps, 76.17% done,   0:01:01 remaining, found=4       
rate:  0.99-kpps, 76.45% done,   0:01:00 remaining, found=4       
rate:  0.99-kpps, 76.75% done,   0:01:00 remaining, found=4       
rate:  0.99-kpps, 77.05% done,   0:00:59 remaining, found=4       
rate:  0.99-kpps, 77.34% done,   0:00:58 remaining, found=4       
rate:  0.99-kpps, 77.60% done,   0:00:58 remaining, found=4       
rate:  0.99-kpps, 77.91% done,   0:00:57 remaining, found=4       
rate:  0.99-kpps, 78.20% done,   0:00:56 remaining, found=4       
rate:  0.99-kpps, 78.49% done,   0:00:55 remaining, found=4       
rate:  0.99-kpps, 78.79% done,   0:00:54 remaining, found=4       
rate:  0.99-kpps, 79.06% done,   0:00:54 remaining, found=4       
rate:  0.99-kpps, 79.36% done,   0:00:53 remaining, found=4       
rate:  0.99-kpps, 79.65% done,   0:00:52 remaining, found=4       
rate:  0.99-kpps, 79.95% done,   0:00:51 remaining, found=4       
rate:  0.99-kpps, 80.24% done,   0:00:51 remaining, found=4       
rate:  0.99-kpps, 80.52% done,   0:00:50 remaining, found=4       
rate:  0.99-kpps, 80.80% done,   0:00:49 remaining, found=4       
rate:  0.99-kpps, 81.09% done,   0:00:49 remaining, found=4       
rate:  0.99-kpps, 81.38% done,   0:00:48 remaining, found=4       
rate:  0.99-kpps, 81.67% done,   0:00:47 remaining, found=4       
rate:  0.99-kpps, 81.96% done,   0:00:46 remaining, found=4       
rate:  0.99-kpps, 82.25% done,   0:00:46 remaining, found=4       
rate:  0.99-kpps, 82.54% done,   0:00:45 remaining, found=4       
rate:  0.99-kpps, 82.83% done,   0:00:44 remaining, found=4       
rate:  0.99-kpps, 83.12% done,   0:00:43 remaining, found=4       
rate:  0.99-kpps, 83.41% done,   0:00:42 remaining, found=4       
rate:  0.99-kpps, 83.71% done,   0:00:41 remaining, found=4       
rate:  0.99-kpps, 84.00% done,   0:00:41 remaining, found=4       
rate:  0.99-kpps, 84.28% done,   0:00:40 remaining, found=4       
rate:  0.99-kpps, 84.57% done,   0:00:39 remaining, found=4       
rate:  0.99-kpps, 84.85% done,   0:00:39 remaining, found=4       
rate:  0.99-kpps, 85.15% done,   0:00:38 remaining, found=4       
rate:  0.99-kpps, 85.44% done,   0:00:37 remaining, found=4       
rate:  0.98-kpps, 85.73% done,   0:00:37 remaining, found=4       
rate:  0.99-kpps, 86.01% done,   0:00:36 remaining, found=4       
rate:  0.98-kpps, 86.31% done,   0:00:35 remaining, found=4       
rate:  0.99-kpps, 86.59% done,   0:00:34 remaining, found=4       
rate:  0.99-kpps, 86.88% done,   0:00:34 remaining, found=4       
rate:  0.99-kpps, 87.16% done,   0:00:33 remaining, found=4       
rate:  0.99-kpps, 87.46% done,   0:00:32 remaining, found=4       
rate:  0.98-kpps, 87.75% done,   0:00:31 remaining, found=4       
rate:  0.99-kpps, 88.03% done,   0:00:31 remaining, found=4       
